åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,6,9,-4.517557,1.864440,0.421074,0.779881,0.254395,1.591646,101582.961429,0.001931,1.591646,270.000000,10.724771,135.463229,0.906658,0.252353,0.283085
1,6,10,-2.644729,1.860795,0.702404,0.844166,-1.076857,2.534400,101597.391482,0.010267,2.753575,292.500000,17.509318,147.917610,0.957753,0.414254,0.248755
1,6,11,-2.157198,1.713395,0.907469,0.856694,-1.370597,3.103089,101577.908330,0.009235,3.391385,292.500000,22.162974,161.778869,0.755502,0.622461,0.244127
1,6,12,-2.696675,1.634496,1.014987,0.858490,-2.152898,3.316509,101586.997877,0.058111,3.887933,292.500000,24.211520,176.663005,0.912247,0.640869,0.233591
1,6,13,-2.849438,1.563706,1.027231,0.860700,-1.950130,3.389623,101589.778094,0.039455,3.877886,292.500000,23.407428,191.756000,0.908028,0.666501,0.228916
1,6,14,-2.936605,1.527607,0.859283,0.882490,-1.460168,3.282988,101684.473656,0.018505,3.591868,292.500000,19.851038,206.143983,1.193408,0.454031,0.205721
1,6,15,-2.934805,1.820869,0.521803,0.965516,-2.164776,2.703477,101714.764051,0.417365,3.442374,315.000000,13.939082,219.233676,0.468573,0.408928,0.122724
1,6,16,-3.454287,1.619620,0.193786,0.928118,-1.983896,2.453746,101790.690952,0.069761,3.137887,315.000000,6.192753,230.902148,0.453725,0.144841,0.151778
1,6,17,-3.910556,1.643345,0.007452,0.867673,-1.478712,2.342783,101821.766789,0.036948,2.730328,292.500000,-2.890539,241.374711,0.000000,0.007452,0.204934
1,6,18,-4.249740,1.694915,0.000000,0.887302,-0.812136,2.092474,101918.524987,0.058141,2.243985,292.500000,-12.897893,251.059408,0.000000,0.000000,0.179909
1,6,19,-4.153336,1.771435,0.000000,0.928024,-0.992687,2.154903,101908.328831,0.062929,2.370755,292.500000,-23.495791,260.474506,0.000000,0.000000,0.140719
1,6,20,-3.848983,1.870240,0.000000,0.965952,-1.138936,2.038888,101953.908156,0.141368,2.319539,292.500000,-34.390774,270.297995,0.000000,0.000000,0.107635
1,6,21,-3.981775,1.857276,0.000000,0.966880,-0.624434,1.953413,102113.591929,0.114697,2.043679,292.500000,-45.258725,281.580501,0.000000,0.000000,0.104591
1,6,22,-4.071395,1.852755,0.000000,0.960147,-0.435706,1.950762,102092.070635,0.097141,1.969006,292.500000,-55.592921,296.280208,0.000000,0.000000,0.109899
1,6,23,-4.289966,1.862788,0.000000,0.944549,0.056362,1.852174,102121.829307,0.103695,1.852174,270.000000,-64.303368,318.244132,0.000000,0.000000,0.122024
1,7,0,-4.937290,1.641409,0.000000,0.883051,0.239841,1.878492,102143.869731,0.074696,1.878492,270.000000,-68.849135,243.329944,0.000000,0.000000,0.173288
1,7,1,-5.503931,1.663781,0.000000,0.798127,0.474790,1.852567,102142.862605,0.000674,1.893242,247.500000,-66.979712,28.124900,0.000000,0.000000,0.249312
1,7,2,-5.936344,1.679985,0.000000,0.760624,0.585289,1.781570,102142.734515,0.000000,1.869937,247.500000,-59.703402,54.951280,0.000000,0.000000,0.280063
1,7,3,-6.488780,1.627033,0.000000,0.758238,0.623034,1.685972,102204.685611,0.000000,1.796060,247.500000,-49.912261,72.296203,0.000000,0.000000,0.273869
1,7,4,-6.798419,1.631720,0.000000,0.749667,0.766829,1.545976,102201.926301,0.000000,1.721748,247.500000,-39.204645,84.797221,0.000000,0.000000,0.277655
